"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QS2NMKIP","bookSection","2012","Falcioni, Damiano; Polini, Andrea; Polzonetti, Alberto; Re, Barbara","Livelock and Deadlock Detection for PA Inter-organizational Business Processes","Advancing Democracy, Government and Governance","978-3-642-32700-1 978-3-642-32701-8","","","http://link.springer.com/10.1007/978-3-642-32701-8_12","","2012","2022-04-24 14:35:50","2022-04-24 14:35:50","2022-04-24 14:35:48","125-139","","","7452","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-642-32701-8_12","","","","","","Kő, Andrea; Leitner, Christine; Leitold, Herbert; Prosser, Alexander","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YHN5F328","conferencePaper","2018","Ezzamouri, Naoual; Hulstijn, Joris","Continuous monitoring and auditing in municipalities","Proceedings of the 19th Annual International Conference on Digital Government Research: Governance in the Data Age","978-1-4503-6526-0","","10.1145/3209281.3209301","https://dl.acm.org/doi/10.1145/3209281.3209301","","2018-05-30","2022-04-24 14:35:50","2022-04-24 14:35:50","2022-04-24 14:35:48","1-10","","","","","","","","","","","ACM","Delft The Netherlands","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dg.o '18: 19th Annual International Conference on Digital Government Research","","","","","","","","","","","","","","",""
"4AJCEHF5","bookSection","2004","Evangelidis, Adrianos; Macintosh, Ann; Davenport, Elisabeth","FRAMES Towards Risk Modelling in e-Government Services: A UK Perspective","Electronic Government","978-3-540-22916-2 978-3-540-30078-6","","","http://link.springer.com/10.1007/978-3-540-30078-6_45","","2004","2022-04-24 14:35:50","2022-04-24 14:35:50","2022-04-24 14:35:48","270-277","","","3183","","","FRAMES Towards Risk Modelling in e-Government Services","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-30078-6_45","","","","","","Traunmüller, Roland","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DXYUQKJG","bookSection","2004","Figueiredo, Adriana Maria C. M.; Mendes, Manuel de Jesus; Kamada, Aqueo; Borelli, José Renato; Rodrigues, Marcos Antonio; Damasceno, Luciano L.; Gonzaga Souza, José; Tizzo, Neil Paiva","Applying MDA Concepts in an e-Government Platform","Electronic Government","978-3-540-22916-2 978-3-540-30078-6","","","http://link.springer.com/10.1007/978-3-540-30078-6_43","","2004","2022-04-24 14:35:50","2022-04-24 14:35:50","2022-04-24 14:35:48","260-265","","","3183","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","en","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-30078-6_43","","","","","","Traunmüller, Roland","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZEXJ9LUP","book","2007","","Electronic Government: 6th International Conference, EGOV 2007, Regensburg, Germany, September 3-7, 2007. Proceedings","","978-3-540-74443-6 978-3-540-74444-3","","","http://link.springer.com/10.1007/978-3-540-74444-3","","2007","2022-04-24 14:35:50","2022-04-24 14:35:50","2022-04-24 14:35:48","","","","4656","","","Electronic Government","Lecture Notes in Computer Science","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","en","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-74444-3","","","","","","Wimmer, Maria A.; Scholl, Jochen; Grönlund, Åke","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Doug; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5B6PNZ82","bookSection","2004","Favier, Laurence; Mekhantar, Joël","Trade Unions in e-Democracy","Electronic Government","978-3-540-22916-2 978-3-540-30078-6","","","http://link.springer.com/10.1007/978-3-540-30078-6_106","","2004","2022-04-24 14:35:50","2022-04-24 14:35:50","2022-04-24 14:35:48","570-572","","","3183","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-30078-6_106","","","","","","Traunmüller, Roland","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PVBA349S","bookSection","2002","Evangelidis, A.; Akomode, J.; Taleb-Bendiab, A.; Taylor, M.","Risk Assessment & Success Factors for e-Government in a UK Establishment","Electronic Government","978-3-540-44121-2 978-3-540-46138-8","","","http://link.springer.com/10.1007/978-3-540-46138-8_64","","2002","2022-04-24 14:35:50","2022-04-24 14:35:50","2022-04-24 14:35:48","395-402","","","2456","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-46138-8_64","","","","","","Traunmüller, Roland; Lenk, Klaus","Goos, Gerhard; Hartmanis, Juris; van Leeuwen, Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6RAFS22Q","bookSection","2005","Evangelidis, Adrianos","Evaluation of a Risk-Modelling Tool at the Business Case of eService Projects – Results from a Workshop in the UK","Electronic Government","978-3-540-28466-6 978-3-540-31737-1","","","http://link.springer.com/10.1007/11545156_10","","2005","2022-04-24 14:35:49","2022-04-24 14:35:49","2022-04-24 14:35:48","105-112","","","3591","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/11545156_10","","","","","","Wimmer, Maria A.; Traunmüller, Roland; Grönlund, Åke; Andersen, Kim V.","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VLFK34N8","conferencePaper","2007","Estevez, Elsa; Janowski, Tomasz","Government-Enterprise Ecosystem Gateway (G-EEG) for Seamless e-Government","2007 40th Annual Hawaii International Conference on System Sciences (HICSS'07)","978-0-7695-2755-0","","10.1109/HICSS.2007.239","https://ieeexplore.ieee.org/document/4076576/","","2007-01","2022-04-24 14:35:49","2022-04-24 14:35:49","2022-04-24 14:35:48","101-101","","","","","","","","","","","IEEE","Waikoloa, HI","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the 40th Annual Hawaii International Conference on System Sciences","","","","","","","","","","","","","","",""
"NY7XXE5S","book","2009","","Electronic Government: 8th International Conference, EGOV 2009, Linz, Austria, August 31 - September 3, 2009. Proceedings","","978-3-642-03515-9 978-3-642-03516-6","","","http://link.springer.com/10.1007/978-3-642-03516-6","","2009","2022-04-24 14:35:49","2022-04-24 14:35:49","2022-04-24 14:35:47","","","","5693","","","Electronic Government","Lecture Notes in Computer Science","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","en","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-642-03516-6","","","","","","Wimmer, Maria A.; Scholl, Hans J.; Janssen, Marijn; Traunmüller, Roland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BB2HVUUY","conferencePaper","2014","Estevez, Elsa; Janowski, Tomasz","A comprehensive methodology for establishing and sustaining government chief information officer function","Proceedings of the 8th International Conference on Theory and Practice of Electronic Governance","978-1-60558-611-3","","10.1145/2691195.2691289","https://dl.acm.org/doi/10.1145/2691195.2691289","","2014-10-27","2022-04-24 14:35:49","2022-04-24 14:35:49","2022-04-24 14:35:48","235-243","","","","","","","","","","","ACM","Guimaraes Portugal","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICEGOV2014: 8th International Conference on Theory and Practice of Electronic Governance","","","","","","","","","","","","","","",""
"N66ZT98T","bookSection","2010","Erman, Nuša; Todorovski, Ljupèo","Analyzing the Structure of the EGOV Conference Community","Electronic Government","978-3-642-14798-2 978-3-642-14799-9","","","http://link.springer.com/10.1007/978-3-642-14799-9_7","","2010","2022-04-24 14:35:49","2022-04-24 14:35:49","2022-04-24 14:35:48","73-84","","","6228","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-642-14799-9_7","","","","","","Wimmer, Maria A.; Chappelet, Jean-Loup; Janssen, Marijn; Scholl, Hans J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAJAU2Q4","book","2007","","Electronic Government: 6th International Conference, EGOV 2007, Regensburg, Germany, September 3-7, 2007. Proceedings","","978-3-540-74443-6 978-3-540-74444-3","","","http://link.springer.com/10.1007/978-3-540-74444-3","","2007","2022-04-24 14:34:05","2022-04-24 14:34:05","2022-04-24 14:34:00","","","","4656","","","Electronic Government","Lecture Notes in Computer Science","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","en","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-74444-3","","","","","","Wimmer, Maria A.; Scholl, Jochen; Grönlund, Åke","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Doug; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8KBUV9DQ","bookSection","2004","Eriksén, Sara; Ekelin, Annelie; Elovaara, Pirjo; Dittrich, Yvonne; Hansson, Christina; Winter, Jeff","What Have We Learned from the TANGO Arena for Regional Cooperation Around e-Government in Southern Sweden?","Electronic Government","978-3-540-22916-2 978-3-540-30078-6","","","http://link.springer.com/10.1007/978-3-540-30078-6_27","","2004","2022-04-24 14:34:05","2022-04-24 14:34:05","2022-04-24 14:34:00","156-163","","","3183","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-30078-6_27","","","","","","Traunmüller, Roland","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7FGRXF6K","bookSection","2003","Eriksén, Sara; Dittrich, Yvonne; Fiedler, Markus; Aurell, Marie","It Takes More than Two... Developing a TANGO Arena for Regional Cooperation around e-Government","Electronic Government","978-3-540-40845-1 978-3-540-45239-3","","","http://link.springer.com/10.1007/10929179_87","","2003","2022-04-24 14:34:05","2022-04-24 14:34:05","2022-04-24 14:34:00","472-475","","","2739","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/10929179_87","","","","","","Traunmüller, Roland","Goos, Gerhard; Hartmanis, Juris; van Leeuwen, Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCTXAURE","conferencePaper","2014","Eom, Seok-Jin; Choi, Nak-bum; Sung, Wookjoon","The use of smart work in Korea: who and for what?","Proceedings of the 15th Annual International Conference on Digital Government Research - dg.o '14","978-1-4503-2901-9","","10.1145/2612733.2612744","http://dl.acm.org/citation.cfm?doid=2612733.2612744","","2014","2022-04-24 14:34:05","2022-04-24 14:34:05","2022-04-24 14:34:00","253-262","","","","","","The use of smart work in Korea","","","","","ACM Press","Aguascalientes, Mexico","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 15th Annual International Conference","","","","","","","","","","","","","","",""
"JVHW4LJY","bookSection","2003","Elsas, Alexander","Integration of e-Government and e-Commerce with Web Services","Electronic Government","978-3-540-40845-1 978-3-540-45239-3","","","http://link.springer.com/10.1007/10929179_68","","2003","2022-04-24 14:34:05","2022-04-24 14:34:05","2022-04-24 14:34:00","373-376","","","2739","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/10929179_68","","","","","","Traunmüller, Roland","Goos, Gerhard; Hartmanis, Juris; van Leeuwen, Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S9KUVAH5","bookSection","2004","Elovaara, Pirjo; Eriksén, Sara; Ekelin, Annelie; Hansson, Christina; Nilsson, Monica; Winter, Jeff","Educational Programs in e-Government – An Active, Practice- and Design-Oriented Network?","Electronic Government","978-3-540-22916-2 978-3-540-30078-6","","","http://link.springer.com/10.1007/978-3-540-30078-6_78","","2004","2022-04-24 14:34:05","2022-04-24 14:34:05","2022-04-24 14:34:00","457-459","","","3183","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-30078-6_78","","","","","","Traunmüller, Roland","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJ5SJRXI","bookSection","2010","Ekelin, Annelie; Anderberg, Peter; Reddy, Kishore","The AUGMENT Project: Co-constructive Mapping and Support of Accessibility and Participation","Electronic Participation","978-3-642-15157-6 978-3-642-15158-3","","","http://link.springer.com/10.1007/978-3-642-15158-3_8","","2010","2022-04-24 14:34:05","2022-04-24 14:34:05","2022-04-24 14:34:00","95-103","","","6229","","","The AUGMENT Project","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-642-15158-3_8","","","","","","Tambouris, Efthimios; Macintosh, Ann; Glassey, Olivier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8A5KDEKS","bookSection","2013","Effing, Robin; van Hillegersberg, Jos; Huibers, Theo W. C.","Social Media Participation and Local Politics: A Case Study of the Enschede Council in the Netherlands","Electronic Participation","978-3-642-40345-3 978-3-642-40346-0","","","http://link.springer.com/10.1007/978-3-642-40346-0_6","","2013","2022-04-24 14:34:05","2022-04-24 14:34:05","2022-04-24 14:34:00","57-68","","","8075","","","Social Media Participation and Local Politics","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-642-40346-0_6","","","","","","Wimmer, Maria A.; Tambouris, Efthimios; Macintosh, Ann","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Doug; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B5FWWLZY","conferencePaper","2014","Edzen, Svante","Table-Top Exercises for Emergency Management: Tame Solutions for Wicked Problems","2014 47th Hawaii International Conference on System Sciences","978-1-4799-2504-9","","10.1109/HICSS.2014.250","http://ieeexplore.ieee.org/document/6758848/","","2014-01","2022-04-24 14:34:05","2022-04-24 14:34:05","2022-04-24 14:34:00","1978-1985","","","","","","Table-Top Exercises for Emergency Management","","","","","IEEE","Waikoloa, HI","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014 47th Hawaii International Conference on System Sciences (HICSS)","","","","","","","","","","","","","","",""
"RSDLWMYQ","bookSection","2003","Edwards, Arthur","Supporting Voting Decisions: Two Municipal Referendum Websites","Electronic Government","978-3-540-40845-1 978-3-540-45239-3","","","http://link.springer.com/10.1007/10929179_33","","2003","2022-04-24 14:34:05","2022-04-24 14:34:05","2022-04-24 14:34:00","177-180","","","2739","","","Supporting Voting Decisions","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/10929179_33","","","","","","Traunmüller, Roland","Goos, Gerhard; Hartmanis, Juris; van Leeuwen, Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M92XYIVW","bookSection","2002","Edl, Anton","IST-Project: AIDA — A Platform for Digital Administration","Electronic Government","978-3-540-44121-2 978-3-540-46138-8","","","http://link.springer.com/10.1007/978-3-540-46138-8_48","","2002","2022-04-24 14:34:05","2022-04-24 14:34:05","2022-04-24 14:34:00","292-297","","","2456","","","IST-Project","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-46138-8_48","","","","","","Traunmüller, Roland; Lenk, Klaus","Goos, Gerhard; Hartmanis, Juris; van Leeuwen, Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHGJPL36","conferencePaper","2018","Eberhardt, André; Silveira, Milene Selbach","Show me the data!: a systematic mapping on open government data visualization","Proceedings of the 19th Annual International Conference on Digital Government Research: Governance in the Data Age","978-1-4503-6526-0","","10.1145/3209281.3209337","https://dl.acm.org/doi/10.1145/3209281.3209337","","2018-05-30","2022-04-24 14:34:04","2022-04-24 14:34:04","2022-04-24 14:34:00","1-10","","","","","","Show me the data!","","","","","ACM","Delft The Netherlands","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dg.o '18: 19th Annual International Conference on Digital Government Research","","","","","","","","","","","","","","",""
"LMG9Z7SY","bookSection","2002","Durrant, Fay","e-Government and the Internet in the Caribbean: An Initial Assessment","Electronic Government","978-3-540-44121-2 978-3-540-46138-8","","","http://link.springer.com/10.1007/978-3-540-46138-8_15","","2002","2022-04-24 14:34:04","2022-04-24 14:34:04","2022-04-24 14:34:00","101-104","","","2456","","","e-Government and the Internet in the Caribbean","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-46138-8_15","","","","","","Traunmüller, Roland; Lenk, Klaus","Goos, Gerhard; Hartmanis, Juris; van Leeuwen, Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K6XAD4BD","bookSection","2002","Drion, Benoît; Benamou, Norbert","Visual Admin — Opening Administration Information Systems to Citizens","Electronic Government","978-3-540-44121-2 978-3-540-46138-8","","","http://link.springer.com/10.1007/978-3-540-46138-8_52","","2002","2022-04-24 14:34:04","2022-04-24 14:34:04","2022-04-24 14:34:00","319-325","","","2456","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-46138-8_52","","","","","","Traunmüller, Roland; Lenk, Klaus","Goos, Gerhard; Hartmanis, Juris; van Leeuwen, Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QPRVWK85","bookSection","2004","Dovifat, Angela; Kubisch, Doreen; Brüggemeier, Martin; Lenk, Klaus; Reichard, Christoph","Explaining Successes and Failures of e-Government Implementation with Micropolitics","Electronic Government","978-3-540-22916-2 978-3-540-30078-6","","","http://link.springer.com/10.1007/978-3-540-30078-6_51","","2004","2022-04-24 14:34:04","2022-04-24 14:34:04","2022-04-24 14:34:00","308-312","","","3183","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-30078-6_51","","","","","","Traunmüller, Roland","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49WEEVDQ","bookSection","2009","Douwe, Vincent; Estevez, Elsa; Ojo, Adegboyega; Janowski, Tomasz","Software Infrastructure for e-Government – e-Appointment Service","U- and E-Service, Science and Technology","978-3-642-10579-1 978-3-642-10580-7","","","http://link.springer.com/10.1007/978-3-642-10580-7_20","","2009","2022-04-24 14:34:04","2022-04-24 14:34:04","2022-04-24 14:34:00","141-152","","","62","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-642-10580-7_20","","","","","","Ślęzak, Dominik; Kim, Tai-hoon; Ma, Jianhua; Fang, Wai-Chi; Sandnes, Frode Eika; Kang, Byeong-Ho; Gu, Bongen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3JCF9JHF","bookSection","2003","Doroshevich, Mikhail; Sokolova, Marina","ICT in Belarus","Electronic Government","978-3-540-40845-1 978-3-540-45239-3","","","http://link.springer.com/10.1007/10929179_90","","2003","2022-04-24 14:34:04","2022-04-24 14:34:04","2022-04-24 14:34:00","484-487","","","2739","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/10929179_90","","","","","","Traunmüller, Roland","Goos, Gerhard; Hartmanis, Juris; van Leeuwen, Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HHEE8FNP","bookSection","2002","Dobrev, Bojil; Stoewer, Mechthild; Makris, Lambros; Getsova, Eleonora","E-MuniS — Electronic Municipal Information Services - Best Practice Transfer and Improvement Project: Project Approach and Intermediary Results","Electronic Government","978-3-540-44121-2 978-3-540-46138-8","","","http://link.springer.com/10.1007/978-3-540-46138-8_32","","2002","2022-04-24 14:34:04","2022-04-24 14:34:04","2022-04-24 14:34:00","199-206","","","2456","","","E-MuniS — Electronic Municipal Information Services - Best Practice Transfer and Improvement Project","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-540-46138-8_32","","","","","","Traunmüller, Roland; Lenk, Klaus","Goos, Gerhard; Hartmanis, Juris; van Leeuwen, Jan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XIXQGLTU","bookSection","2010","Drogkaris, Prokopios; Gritzalis, Stefanos; Lambrinoudakis, Costas","Transforming the Greek e-Government Environment towards the e-Gov 2.0 Era","Electronic Government and the Information Systems Perspective","978-3-642-15171-2 978-3-642-15172-9","","","http://link.springer.com/10.1007/978-3-642-15172-9_14","","2010","2022-04-24 14:34:04","2022-04-24 14:34:04","2022-04-24 14:34:00","142-149","","","6267","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","DOI: 10.1007/978-3-642-15172-9_14","","","","","","Andersen, Kim Normann; Francesconi, Enrico; Grönlund, Åke; van Engers, Tom M.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V9TG9G8I","conferencePaper","2014","Douglas, Sara; Maruyama, Misa; Semaan, Bryan; Robertson, Scott P.","Politics and young adults: the effects of Facebook on candidate evaluation","Proceedings of the 15th Annual International Conference on Digital Government Research - dg.o '14","978-1-4503-2901-9","","10.1145/2612733.2612754","http://dl.acm.org/citation.cfm?doid=2612733.2612754","","2014","2022-04-24 14:34:04","2022-04-24 14:34:04","2022-04-24 14:34:00","196-204","","","","","","Politics and young adults","","","","","ACM Press","Aguascalientes, Mexico","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 15th Annual International Conference","","","","","","","","","","","","","","",""
"8CWU3Z73","conferencePaper","2016","Dini, Alfatika Aunuriella; Saebo, Oystein","The Current State of Social Media Research for eParticipation in Developing Countries: A Literature Review","2016 49th Hawaii International Conference on System Sciences (HICSS)","978-0-7695-5670-3","","10.1109/HICSS.2016.339","http://ieeexplore.ieee.org/document/7427522/","","2016-01","2022-04-24 14:34:04","2022-04-24 14:34:04","2022-04-24 14:34:00","2698-2707","","","","","","The Current State of Social Media Research for eParticipation in Developing Countries","","","","","IEEE","Koloa, HI","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 49th Hawaii International Conference on System Sciences (HICSS)","","","","","","","","","","","","","","",""
